Number,County,State,Latitude,Longitude,Classification,Date,Season,Temperature,Humidity,Cloud_cover,Precip_intensity,Visibility,Pressure,Wind_speed,Observed
3624,Multnomah County,Oregon,45.55364,-122.1884,Class A,2002-01-09,Winter,43,0.89,0.64,0.0002,5.57,1024.96,0.67,Creature 7 to 8 feet tall was sighted by my wife and son at  9:15 pm 01/09/02 near Multnomah Falls.  It crossed the freeway in front of their vehicle before going over guard rail toward the Columbia River. They nearly hit it in the westbound lane. She called me from her cell phone and told me what just happened.
3633,Polk County,Oregon,44.86875,-123.4462,Class B,2000-10-15,Fall,53,0.87,0.48,0.0005,8.87,1019.0,0.96,"I WAS HUNTING WITH MY TWO BROTHER IN LAWS IN OCTOBER OF 2000. WE WERE IN THE COASTAL RANGE MOUNTAINS ABOVE FALL CITY. WE WERE DRIVING OLD LOGGING ROADS LOOKING FOR GOOD LOCATIONS TO SPOT DEER. WE DROVE UP ONE LOGGING ROAD WHERE   THERE WAS A TURN-AROUND OVERLOOKING A HUGE REVINE  CONTAINING A DENSE FOREST. I GOT OUT TO LOOK OVER THE EDGE WHEN I NOTICED A LARGE HUMAN-LIKE FOOT PRINT. IT WAS SLIGHTLY LONGER THAN MY SIZE 12 HIKING BOOT AND POSESSED 5 TOES. THERE WAS NO EVIDENCE OF ANYONE BEING THERE RECENTLY(I.E., TIRE TRACKS, SHOE PRINTS, FRESH GARBAGE AND BULLET SHELLS, ECT....ALL THINGS COMMON TO THESE TYPE OF TURN-AROUNDS). WE WERE VERY DEEP IN A COMPLEX SERIES OF LOGGING ROADS THAT WERE PROBABLY SELDOM USED. THE TRACK LOOKED RELATIVELY FRESH, MADE UP OF LOOSE DIRT( A FEW DAYS OLD AT THE VERY MOST). I TOLD MY BROTHER IN LAWS(WHO ARE VERY SKEPTICAL) WHO WERE STILL IN THE CAR TO GET OUT AND LOOK AT WHAT I FOUND. THEY WERE INTERESTED, BUT VERY SKEPTICAL. AT A CLOSER LOOK WE DISCOVERED THAT THERE WAS A HAIR OF SOME SORT WITHIN THE PRINT. THE HAIR WAS ABOUT AN INCH LONG AND WAS VERY CORSE. IT WAS VERY DARK BROWN AND HAD A BLONDISH COLORED TIP. WE HAD A VIDEO CAMERA AND A STILL CAMERA WITH US JUST IN CASE WE ACTUALLY GOT A DEER ON OUR HUNTING TRIP( WE NEVER HAVE). SO, WE TOOK VIDEO AND STILL PICTURES OF THE PRINT. WE COLLECTED THE HAIR AND PUT IT IN A FILM CONTAINER. UNFORTUNATELY WHILE TAKING THE HAIR OUT TO SHOW SOMEONE, IT WAS LOST. I DO HAVE EVIDENCE OF IT IN THE VIDEO THOUGH. THE PRINT WAS LOCATED BETWEEN A PATCH OF GRASS/UNDERGROWTH AND THE STEEP LEDGE. WHATEVER IT WAS THAT MADE THE PRINT WAS STEPPING FROM THE GRASS TO THE LEDGE. THE LEDGE SEEMED TO HAVE SOME IMPRESSIONS MADE BY THE SAME CREATURE WALKING SIDEWAYS DOWN THE HILL, BUT IT WAS SO STEEP AND HAD SUCH LOOSE SOIL THAT NO ACTUAL PRINTS WERE APPARENT. I DO HAVE PHOTO AND VIDEO EVIDENCE OF THE PRINT."
7537,Polk County,Oregon,45.0608,-123.694,Class A,2003-12-08,Winter,44,0.95,0.78,0.0004,6.72,1021.65,2.01,"I was driving from Portland to Lincoln city to retrieve my work bag that I had left in Lincoln City over the weekend. I left Portland at 3 am and had only had coffee and donuts to eat; there were not many other cars on the road at all, none that were going in a westerly direction that were within sight of me and only about 2 cars passed me between Spirit Mountain Casino and the site were I had my sighting. I was driving about 55 mph and had my bright lights on  and had just came over a rise in the road shortly after you start down the back side of Murphy Hill summit. As I crested the rise out in the distance I saw what I thought at the time was a deer on the left shoulder of the road about 200 yards out from me.  I slowed down to 40 mph or so because I didn't want it to jump in front of me or if there were other deer in the area I might spook them into the road. As I got within 75 yards the object began to move across the road from left to right, that is, when I saw that it was not a deer and I thought it might be a bear which I have seen cross a road before but this was way different. The object was hunched over slightly and was on two legs and cleared the road in about 4 steps. The best way to describe the color was dark brown to black and I would guess the hair to be 4 or 5 inches. The arms looked to come down to mid thigh area. I did not see the face except for there seemed to be a deer-like shine coming from the face area. The height was about 7ft + as it disappeared over the edge of the road to the right. I was about 50 yards away by this time. I was starting to feel pretty weird like this was something I had never seen. Hard to explain the feeling as I passed the spot where it went over the bank I tried to look over and see where it had gone. I was going about 25 mph now as I went about 20 yards past the spot and stopped I then reversed my car to the spot where I had seen it go over the bank. I stopped my car and left the engine running I had my window rolled down slightly for air flow as I was driving. When I stopped I could smell a musty type smell not real bad but strong enough to notice. I could hear some movement in the brush but not a lot because of the car noise and the fact that my window was only down 2 or three inches on the left side when the object was now on my right.  I had a really strong feeling that I was being watched; every hair on my body was rigid, I had goose bumps over my whole body I have them now as I write about this, not as bad but the chills. I decided then that it would be a really good time to leave so I drove off as fast as my Metro would go I made it to Lincoln City at 6 am and had about 10 cars pass me going east on hwy 18 in that time.When I got there I went to my girlfriend's to get my bag and was going to come right back to Portland to work. Instead I stayed until 9 am then left to go back to Portland. As I drove by the spot I thought about stopping but decided against it.  I know the area well though because I helped a lady who had rolled her car off the road in the same are many years ago. The bank in the are is about 7 ft down on both sides and is swampy in some places. I lived in Lincoln City for many years and have spent time in the woods alone and with others and have never felt or seen anything like this  I don’t know what to make of it except for it being Bigfoot. No bear walks on its back legs like this. If you want to see the spot I can take you there just let me know also I drive this stretch of road 2 times sometimes more a week."
2102,Tillamook County,Oregon,45.75449,-123.866,Class A,1997-09-13,Summer,63,0.85,0.49,0.0061,8.75,1006.44,3.5,"It was September 1997, 8 people and myself were camping in the Tillamook County forest. Well anyway, I got up about 6am,  got out my 22 and started out on a hike. Before leaving, I heard a friend say ""wait up and I'll will go with you"" I said ""fine but no talking I want to check out the game in the area before they check us out"". About 5 minutes up the road I noticed about half way up a hill was a large rock outcropping with a black stump about 9 feet tall. It was around 400 yards from us. I ask my friend ""do you see that weird shiny stump on those rocks up there?"" He said yes. Then I said ""look at it through your scope"". Then the gun went off.  He said he didn't mean to fire and that he couldn't find that stump any more.  In disbelief I looked and didn't see it any more. When looking in the only areas something could go, I saw it walking very fast, long arms swinging, one basic black color.  I said ""Sh*#$@& you shot at that person!"" or what ever it was.  We ran back to camp and didn't say much because we did not want to get in trouble. Later I showed a friend who camps there all the time the place and he said no one could climb up there early enough to be up there by 6 am. I agreed. He also pointed out that there were no other camper around this area. It is in the Cook Canyon area, very steep rocky country, great for elk hunting. I am convinced that this was a bigfoot. I've always been a non-believer of bigfoot, but now I'm convinced. I'm always in the woods elk and deer hunting or scouting camping etc.  I've never seen any thing like it, including bears standing on there rear legs, both black and brown in Alaska.This thing was tall, slimmer than bear. Thank you."
102,Tillamook County,Oregon,45.7351,-123.466,Class B,2000-08-19,Summer,47,0.97,0.77,0.0178,9.54,1020.65,0.56,"This weekend 8/19/00 while hunting off of Salmonberry Road off HWY 26.  I was looking for bear tracks on a trail that I have hunted before; anyway,  when I came out at the trails end on one of the logging roads I decided to take a walk up the road with my fiance.  I always keep an eye on the sides of the raods for traks to see where an animal may have crossed. Well about a half a mile up I saw a track, with very decerable toes (5) and I put my foot up nxt to the print, I am a size 12 and the print was about the same.  The funny thing was, the print looked like the foot was broken and healed wrong, I do know that it was not human and it deffinatly was not any type of animal I hunt for.  My fiance also saw this print as well. As we first hit the trail,  I should mention we both herd a howl the likes of nothing I have never heard before in my LIFE, the hair on the back of my neck stood on end, even my fiance said that it was the wierdest thing she ever heard.  There was no noticable odor in the air at that time.  This was all in the morning at about 6:10am. I will be checking this area again in about a week.  I will not forget that howl\moan for as long as I live.  It is monday and I can still hear it in my head."
31488,Umatilla County,Oregon,45.48318,-118.83,Class B,1998-10-15,Fall,41,0.69,0.61,0.0012,9.77,1015.79,6.42,"I was with a group of bow hunters in a canyon above Pilot Rock, Oregon.  My 12 year old daughter and I were sitting in the brush waiting for the rest of the party to push the elk to us.  We had been sitting in the dense trees since early in the morning (about 6 am) and it for about three hours, as my daughter wasn't keen on hiking through the canyon.  We had been bugling during the entire time.  Because it was early fall, it was quite foggy up in the high areas.  My daughter and I had been hearing what sounded like a branch thumping against the trees from down below us, but steadily approaching our hiding spot.  I thought nothing of the sound because one of the party was carrying antlers to ""rattle"" the elk.  Eventually, the two of us began to hear distinct rustling noises near us with a grunting and growling sound.  The stench was unbelievable.  It smelled like a combination of wet mop and wet dog hair that had moldered for awhile.  I have been around a bear carcass and it did not smell like this.  I was, quite frankly, spooked!  My daughter was likewise wanting to get out of the woods.  We immediately climbed up the canyon wall to where the four wheelers were.  The crashing sounds followed us.  When the rest of the party caught up with us they said that they had seen me walking along the hill.  Where they said they had spotted me was in no where close to where my daughter and I had been as it was straight down a pretty ragged elk trail that I would not have tried with my kid along.  I have never been comfortable in that area again and refuse to hunt without someone with me.  I have tried telling many people about this but even my daughter who was with me scoff and say it was a bear."
5505,Umatilla County,Oregon,45.46571,-118.875,Class A,2002-12-17,Fall,35,0.75,0.26,0.0006,9.63,1003.76,3.48,"I heard something funny while running my computer. Out the back window --- I saw a bigfoot looking at me!! --- I said hello (to him?) but he just turned away and went out toward the field. An update from John (12/20/02)--I went around the place and did find a footprint on the bank behind the house. It was pointing toword the house and I took a tape and it was 16"" long with it being 6/7"" wide and on the heel. I could see dermal ridges. (John was encouraged to cast the track. -tp) I also asked the neighbors if thay heard/seen anything. One said they had heard the same weird voices, like a talking, but not making any sense."
57323,Umatilla County,Oregon,45.66721,-118.7056,Class B,2012-11-07,Winter,42,0.66,0.32,0.0029,9.96,1016.8,4.37,"November 2013 We live near the Umatilla River just 2-3 miles outside of Pendleton, OR on the Umatilla Indian Reservation.  It is not a remote area.  We are surrounded by farm ground and a couple neighbors within a couple thousand yards or so on a dirt road. We sleep with our bedroom window cracked about 2 inches open so the bedroom stays very cool. I awakened around 12:30AM and sat straight up in bed because I had heard something.  It was very quiet in the house and no unusual noise outside but I had heard ""something"" that woke me up wide awake. Listening intently for several minutes, I heard this weird and very loud wailing, screaming, laughing noise that sounded like a cross between a woman hysterically screaming and then quickly changing to hyena-like laughing and almost a ""wooping"" yell. I jumped out of bed and ran to the front door that opens to farmland and low rolling hills.  It sounded like several hundred yards out.  It repeated 3-4 times, each getting quickly farther away like it was running. I did not awaken my spouse. A couple weeks later, the same thing occurred late at night.  Then, a few days later around Christmas/New Years the local newspaper ran a story about ""Bigfoot"" scaring tribal members and people at night.  There was also a large number of phone recordings of the same crazy maniacal laughter I had heard.  The residents started calling it the ""Umatilla Screamer""."
65970,Umatilla County,Oregon,45.45024,-118.3243,Class B,2020-08-12,Summer,55,0.51,0.53,0.0007,10.0,1013.3,5.88,"My teenage sons and I were camping in a dispersed site off of NF-3102 for a few days.  On the morning of the 12th just after 6am I was making coffee when I heard a guttural growling that rose to a higher pitch scream and then became a whooping sound, after which it dropped back down to a growl.  This sequence repeated three times.  My dog freaked out barking, but would not go past the saplings on the east edge of the camp, which is strange because he usually pursues deer, elk, and bears several hundred yards into the woods. I grabbed my bow and walked past the line of saplings, into an open forest that sloped down to a ravine with areas of dense vegetation.  I called my dog to follow, but he would not come.  The forest in this area is full of downed trees, where my sons and I had gathered firewood the previous afternoon.  I believe the sound came from the vegetation / trees at the bottom of the ravine, which we had been within 30 feet of when gathering downed wood. I only walked about 20 feet past the saplings, and stood on a log for a better view, but did not see anything moving.  I then decided to go back to camp, being a bit worried because my dog wouldn’t leave the area of our tent.  For the next hour and a half I sat with my bow next to me, the dog sitting between my legs, and listened to many instances of downed branches cracking beyond the saplings.  When the cracks stopped, it was abruptly, not fading as if the cause were moving away.  These were large branches being broken, similar to the sound of a bear breaking wood.  My dog is not afraid of bears and has chased away several, including one the previous week in eastern Idaho. About half an hour after the cracking sounds stopped the dog went out in the forest to investigate, and everything seemed to return to normal.  It was then that I again heard the squirrels angrily chirping and chittering at the dog, and realized that I had not heard it at all during the noises or cracking. I have never heard anything in the Blue Mountains, Rockies, or Cascades like this sound.  It sounded nothing like deer, elk, moose, bear, mountain lion, or bobcat.  The only thing I could possibly think is maybe a mountain lion was killing an elk, but it repeated three times with just about the same length and cadence.  And the whooping part of it reminded me of those plastic bellows hoses that you swing in the air to make a whistling / whooping sound. While in Pendleton a couple days later I was describing the sounds to a local hunter when an older native woman overheard and said she thinks it was a Bigfoot, and that she’s heard them on the Umatilla Reservation."
7957,Columbia County,Oregon,45.82565,-123.296,Class B,2003-11-09,Fall,46,0.86,0.42,0.0038,9.61,1013.94,0.52,"My partner and myself were elk hunting in the ""Saddle Mountain Unit."" It was approximately one hour after daylight. We were standing near our vehicle on a pullout off an old logging road trying to spot elk. I then heard a loud wailing scream tapering off into an agonizing moan. My partner just stood there looking into the canyon.I didn't speak to him. After another couple minutes passed, the scream occured again. I knew that he had heard it both times. I asked him what he thought it was. He asked what I thought it was. I told him that we both know it's a sasquatch. The sound was very loud. If I were to guess it was 250-300 yards away. Over the next ten minutes, the scream occured 2-3 more times. It seemed that the sound was directed to different directions the last couple screams. My hair was sticking up and it quite literally scared the hell out of me. No more screams were heard.(more to story)"
11147,Clatsop County,Oregon,46.2262,-124.0133,Class A,1978-02-15,Winter,41,0.86,0.65,0.0039,10.0,1023.91,0.73,"The sighting ocurred in the late seventies. I was  with my dog at the North jetty, in Ft. Stevens State Park. It was a very stormy day and the surf was high, crashing over the rocks on the jetty and pounding the beach. From the viewing tower I saw a man-like figure walk down off the grassy area onto the beach.  At first I did not think too much of this ""person"" out on the sands. Then I watched as the figure neared the edge of the water. It was waving its arms up and down facing the surf and the tower.  There was another person on the tower with his daughter and they too saw the figure; we looked at each other with a ""what the hell is that"" look but said nothing and continued to watch this figure standing on the beach. At this point I noticed a pick up truck with its lights on approaching up the beach from the south. Then the scale of the figure really struck me; it had to be a good 8 feet tall or more. The figure quickly turned and moved very fast off the beach before the truck was in range. It did not run but rather ""strode"" the 30 or so yards to the dunes edge, then took one or two steps up the embankment and was gone. I was all excited and scared on what I has just seen.  I decided to go to the nearest parking lot near where the figure came down on the beach and see if I could get another look at it. As I approached the beach I became even more afraid, the wind was so strong I could hear nothing but the roar of the surf and the howl of the wind through my coat's hood.  My dog was anxious and stayed close to me. I went to the beach and found where it came down the sand hill, the sand was all torn up from its passage. But when I discovered the hill was an easy 10 foot high, I really became fearful and decided to return to my car and leave instead of following the tracks into the grass. The vivid picture of a sandy colored figure standing near the surf waving its arms still stays with me today nearly thirty years later."
8633,Potter County,Pennsylvania,41.7655,-77.8768,Class A,2004-05-09,Spring,62,0.86,0.71,0.0515,8.26,1019.45,3.23,"Driving tractor and trailer on US 6 appox. 6 mi east of Coudersport Pa. on May 7th at appox. 10:30 pm. Going up Denton Hill just past the ski area, there was a car in front of me appox. 100 yds. There was lightning to the west of my location but not yet raining where I was at.  The highway going up the hill has a passing lane. The car in front of me was in the driving lane and then swerved into the passing lane as if to miss something. After he swerved I noticed a large black figure beside the road. It was standing upright on the shoulder of the road on my right about to go up a steep incline to the woods. Just saw it for a second then it disapeared. Took a second for me to make out what it was. The car in front of me did not stop or put on it's brake, so  I'm not sure if I really saw something or it was my imagination. Appeared to be appox. 7 to 8 feet tall. using the car as a reference point for height. Total black with long arms and legs."
25085,Susquehanna County,Pennsylvania,41.79985,-75.9799,Class B,2008-12-19,Winter,21,0.86,0.84,0.0056,5.5,1016.7,1.15,"It was December,2007. My husband and I and our two dogs were home and My husband was lying on the couch with our dogs,he was reading the newspaper and watching tv. I came into the living room to tell him something, as I was leaning over him,something caught my attention out of my periphiel vision. I saw what looked like two red spots at the _top of my blinds on our living room window. I turned to look at it further and soon the two red spots formed eyes, very large eyes, I kept watching from where I stood and the eyes looked right at me,we were looking at each other. I wasn't frightened,just astonished to what I was seeing,and then what ever it was it turned it's head and walked away from my window. Just to state a fact of point,my mini-blinds were white, down all the way and the blinds themselves were folding downward,so,anyone outside can see in,but,if they are up you can't see in. Mind you,Our moble home is 14' high and 70'long on two acres of land in a rual area.outside of Montrose,PA. We sold our property in Feb.2008. I never went outside to investigate what I saw, I figured that I would leave well enough alone,just let whatever it was be on it's intended journey. Although, I am amazed that niether dog reacted to it."
14677,Westmoreland County,Pennsylvania,40.5258,-79.6575,Class A,2006-09-02,Fall,56,0.94,1.0,0.0256,6.67,1017.83,2.21,i was driving home late from dropping off my girlfrend about 11pm i was approaching an intersection on a back road when a movement caught my eye something crossed the road in front off me. it took about 3 to 4 steps to cross the road. all i made out was a huge manlike form about 25 to 30 yards away then disapear through the trees on the other side of the road. i stopped. at first i thought that maybe it was aperson but quickly realized there was no vehicle except mine. i have lived in the area all my life. im not crazy i have had every animal known cross in front of me while driving from a mouse to a bear and nothing absolutly nothing moves that fast or looks the way it did. i have been past that spot hundred of times and never seen it again. i did return the next morning and although there were no tracks there was a clear path through the field were it crossed. i from the waist down was clearly in view the uper half was shadowed. everybody said oh deer or bear.i say no not on 2 legs.  i can take enybody to the exact spot where it happend. im and not lying just interested in sharing my sighting
26137,Benton County,Oregon,44.50455,-123.5524,Class B,2009-06-13,Summer,50,1.0,0.89,0.0092,8.66,1013.92,1.08,"My wife and I love to take our three young children on small treks (we usually hike 3-5 miles). We live very close to Silver Falls, but wanted to venture out a bit more. We read about Mary's Peak, just outside of Philomath and thought we'd give it a try. The following is what my wife wrote in her blog last night. Here is the link, where you can find some pictures of the area we hiked http://tleraadventures.blogspot.com/ Here's what she wrote: We were disappointed to find it incredibly foggy, since it is the highest point on the coastal range, and we had our hearts set on a spectacular view. As it turned out, the fog made the dense forest section of our hike even more interesting and gorgeous. All of the plants and trees were damp and dripping from the condensation, and the clouds were swirling around us at times- absolutely breathtaking! It was very secluded, and simply serene. About half way through our hike, we heard a UAS (Unidentified Animal Sound). The best way I can describe it is to say that it was a short, deep, guttural whooping sound. Whatever it was, was clearly rather too close for our liking. We weren't really frightened, but we were unnerved enough to take safety precautions. I stopped taking pictures, and Travis & I insisted that the kids walk between us in a tight group for the remainder of the hike. The sound came and went, and at one point it became clear that there were at least two of whatever-they-were, because we realized that not all of the sounds were coming from the same direction. They were alternating, as if they were communicating. It all continued for about 40 minutes, sometimes louder and closer, other times quieter, and obviously farther away as we continued to climb the trail. Eventually, the sounds ceased altogether, and we relaxed when we finally made it out of the forest section and back into the open."
85,Clackamas County,Oregon,45.03255,-122.4808,Class B,2000-06-08,Spring,53,0.86,0.98,0.0006,10.0,1012.38,4.74,"Right off the bat, I'll tell you I'm a 16 year old kid telling absolutely the truth, so god strike me dead. I hope you don't take my report as bogus because of that. Let me explain my situation to you: I live, and have lived, on the Molalla river for most of my life and never thought twice about walking around at night or anywhere period. About 2 months ago, I was alone in my Grandmas house using the computer, when I decided to go home (my house is only about 50 yards away). As I was stepping outside the most hideous feeling of being alone and fear thumped my heart. I kept walking in terror, when all of the sudden about 30 feet off to my right, I heard a loud thumping sound crash out. From there on, being distorted by my act of running faster than I've ever moved before, I could swear I heard the distinctive two-legged footsteps veering toward me from off the trail between houses. I raced in my house, slammed the door, locked it and sat in the living room to calm down from my strange experience.The oddest feelings flushed through me then, and now. Now, before you dismiss my story as a frightened child running from noises, I'll have to tell you of the strange past our 45 acres of land at the end of the Dickey Prairie road has had: Around three years ago, when we had cattle and cows fenced on our property, I noticed casually how they would always stay together and go near the barns at night. Then one day we discovered two of them killed up in the woods by the drinking creek. The killings weren't average killings either. The cows didn't have a scratch on them, both had broken necks and their eyeballs sucked cleanly out. Since those experiences, I'm now scared to go hiking and travel at night. Yes, average signs of fear, but I have the weird feeling of being an 'Intruder'. Thank you for your time sincerely, Shawn Murray p.s. I'm a believer."
187,Clackamas County,Oregon,45.40023,-122.2777,Class B,2000-07-22,Summer,60,0.84,0.94,0.0025,9.93,1019.7,3.13,"Before I go any further, I'd like to emphasize that I am not sure that I actually heard a bigfoot sound.  I am mainly putting it on here because I have thought about it in depth (that's why the delay in reporting), and the only thing in my memory that has any resemblance at all to what I've heard is the past audio recordings of bigfoot (although what I heard had better audio!).  I still wonder if this was a bigfoot, how or why it would have been near a town, but I have no other explanations. I was in Sandy, Oregon with my family during the weekend of July 21-23, 2000. We were staying at the Sandy Inn, which is just west of the main part of town.  It was hard to sleep the night of the 21st; it was very humid and some thunderstorms did move through about midnight or so.  I was up several times during the night; either to shut the window, open the window, turn on the air conditioning, etc.  I got up once around 3 or so in the morning on the 22nd after the storms passed. I was sticking my head out of our 2nd story window, enjoying some cool air and kind of looking off into the woods toward the north.  There was not a sound anywhere (that I could hear). No cars on the highway, nothing.  Then I heard a very indescribable sound. I thought at first it was tires screeching but as the seconds passed I realized a car would have to be burning rubber for a long ways. Then as I kinda cleared my head, I thought it sounded like a man screaming, or better yet, wailing.  But I've n ever heard a human do a sound like that either. It was not a moan or howling with an ""o"" sound, it was more like ""eye-eeee--ah-eye-eee"". Very high pitched. It won't do me much good to try to interpret the sound in letters.  But the way the pitch of the sound went up and down so fast, I've never heard any animal or human do that, and I've heard quite a lot of animals.  If a a human did what I heard, they'd bust their vocal chords. It went on for about 20 seconds-maybe a little longer, but not sure of that. It did seem to kind of trail off at one point then come back. I know it was long enough for me to get a good listen.  It was not close by, either. The window faced toward the north, so it's possible that's where it came from but I can't be sure of that. It seemed like it was off in the distance somewhere. When it started, it was rather quiet, and ended trailing off in the same manner it started.  Even though I was a bit groggy, it was wierd enough to wake me up and even scare me a bit.  I didn't think too much of it at the time but the next morning I was thinking to myself, ""What was that?""  I didn't report it or consider that until now because I wasn't sure and after a while I honestly had forgotten about it until something in my mind triggered it again.  All I can say is, if it wasn't a bigfoot, fine.  But please tell me what it was"
1986,Clackamas County,Oregon,44.97487,-122.3057,Class B,2001-03-18,Winter,39,1.0,0.96,0.0179,9.79,1018.59,10.97,"Today, March 18, 2001, my brother and I were hiking near Table Rock Wilderness in Clackamas County, Oregon. Found footprints in the snow very much like a very large, bare, human foot. We wear size 12 and 13 boots and the prints were significantly bigger. Using a dollar bill as a size reference I took pictures with a digital camera. Using the dollar bill we measured a stride of 4 feet. Also the prints were deeper than ours or the other human prints in the area. I would like to submit the pictures for expert evaluation and will do so if an e-mail address is provided."
3441,Clackamas County,Oregon,45.33175,-121.9139,Class A,2001-11-29,Winter,39,0.96,0.95,0.0216,8.85,1003.57,7.41,"I am submitting this report for the witness. The sighting was viewed from the witness’s home, through the window. The creature was viewed at a distance of approximately 130 feet when a car’s headlights backlit the creature as it ran from left to right across the road from the witnesses perspective. The occupants of the car where not identified or contacted, but did stop a short distance from the creature, insinuating that the driver also observed the sighting. The creature was running fast, upright, very hairy, humanoid in appearance, and estimated to be 7 feet tall (definitely larger than the witness who is 6’3”). The local dogs were barking excitably, which is why the witness looked out the window. A search for footprints with flashlights was unsuccessful for finding clues or footprints. However, the ground is moist and soft, and it is currently not precipitating, so there may be fresh prints or evidence still available in the morning."
14841,Clackamas County,Oregon,45.3207,-121.9547,Class B,2003-02-15,Winter,42,0.85,0.86,0.0242,8.15,1008.48,3.05,"I lived in Welches, Oregon.  I am 42 yr old now.  This was 2 1/2 years ago, in November 2003.  I was living in an apartment over a garage overlooking the Salmon River. At around 6pm there was a large bang on my front door. The door was locked, thank goodness.  I called 911 and told them that something banged on my door, and I was alone and scared.  I lived right next to the Mt. Hood National Forest.  No families lived there in the winter time.  If something happened to me no one would hear me scream.  I heard grunting.  I looked out onto my deck, through the windows and I saw those eyes.  It had to be huge animal. It was there watching me and I was watching it.  It blinked its eyes, but it was like the animal was frozen with its eyes set on me.  It had a furry head. It took 3 hours for the police to show up.  They came in on foot, from down the road, but did not see anything when they looked around."
24328,Clatsop County,Oregon,46.03193,-123.4573,Class B,2008-08-01,Summer,57,0.85,0.91,0.0019,8.54,1014.92,1.82,"On Friday morning, August 1, 2008 at about 2:35 AM, I was awakened from sleep in my rented 19 ft travel trailer to what initially sounded like a man yelling for his dog. My family and I were vacationing in Seaside, OR and we were staying at Circle Creek RV Park, located on Highway 101 about one mile south of the popular destination town. After being woken up, I listened for some time before getting up and asking my wife if she had heard what I was hearing. She had been sleeping with our two young sons at the opposite end of the trailer. What we both heard for the subsequent 25 minutes was a deeper voice calling, as if searching for someone. We could not make out what the person was saying, and it seemed odd to both of us that the vocalizations were exact replicas of each other, that is, each call sounded identical to the other. It was almost as if someone was walking around with a tape-recorded selection repeating plays in uneven short intervals. The vocalizations seemed to rapidly circle the RV park along a bordering creek and hedge-row. This movement of the sounds would have required the individual to be constantly running. My wife and I both observed out the windows in the trailer, looking for a flashlight or some other indication of someone searching. The security lighting in the RV park made it difficult to notice forms outside the perimeter. The tone and timbre, and completely unintelligible nature of the vocalization seemed similar to the ""samurai chatter"" recordings on the BFRO website. At one point the vocalizations became so close to our trailer and so loud that my wife became profoundly afraid. I began wondering if any of the other guests in the park had been awakened, and if they were shaken up as we were. At about 3 AM a car drove up from the highway and three passengers with flashlights exited the vehicle, and proceeded to their campsite. The car drove away. This activity brought silence to our unintelligible visitor, and we were not disturbed for the rest of the night. At 7 AM I asked the RV park manager if he had heard “all of the commotion” the previous night, and he said that he had not heard a thing. I was disappointed to be heading back to Portland that day, as I had hoped to talk with other park guests about the incident."
9204,Columbia County,Oregon,45.7492,-122.9546,Class B,2004-08-06,Summer,63,0.79,0.72,0.0053,9.48,1014.22,2.62,"On the morning of August 6th, at approximately 6:30am, at a location off Dutch Canyon road in Scappoose, while pre-season scouting, I was observing several deer, 4 bucks and 2 does. While watching the deer for approximately 15 minutes, I watched all six deer look towards the east into a tree line about 1000 meters from my location and the location of the deer. Within 30 seconds of watching the deer look over a bellowing scream came out of the wood line.  I knew exactly what it was from my prior reports from the Salmonberry area. In was on queue with the Ohio recordings.  The scream started at a low tone and progressively and increasingly became louder until it became a loud type of moaning growl. The deer at that point became intensely agitated, their tails went up and they took off heading west into an adjacent tree line about 300 meters from my location.  They did not stop for anything or anybody.  At that time, I focused my binoculars on the tree line that the scream came from and waited, and observed for almost 2 hours with no physical sighting.  I have gone up several days now with nothing further to report.  Being that the season opens up this coming weekend I will keep an eye on the area and animal behavior for anything out of the ordinary."
67380,Coos County,Oregon,43.27402,-123.9834,Class B,2020-04-15,Spring,52,0.86,0.74,0.0006,8.425,1024.2,4.16,"I wasn't going to report this incident, but I believe it is of major importance to the Bigfoot research community. I will try to keep it simple. I had recently purchased a used vehicle and we decided to take it for a test drive to Laverne Park, which is just a short drive into the mountains from where we live. I was with my girlfriend, her 14 year old daughter, and my dog. After passing the park, we drove on further to see the country. We found a right turn and followed the rural road up into the forest. I later found out that we were traveling up Moon Creek. Not long after heading up the road, my car started overheating. I didn't have water on me so I decided to stop at the first water source, which was a bridge of the creek. I pulled over and we got out. While stepping out of the truck by girlfriend said, "" hey, there is something walking on the hill above us"". We stopped and listened for a moment but it was quiet. I then looked for a place to collect some water from the creek but it turned out that the edge of the water was too steep to step down and get water from. So, I had come up with a quick plan to connect some string to a cup and ""fish"" the water from the bridge. While we were trying to get the cup to fill, a small stone was thrown at us and bounced on the concrete of the bridge we were on. I looked up and noticed a steep hillside above us wondering what the hell could throw a rock at us. I noticed my dog was sitting in my truck, which she never does while I'm out of it in the wilderness. I was getting a little spooked so I tried to speed up the process of getting the water in the cup. Then, another stone bounced on the bridge next to us. I literally watched it skip along the cement. I mentioned that we better hurry, and then, from somewhere up the hill, came a very large rock, about the size of a softball of larger. It smashed against a huge rock in the creek and busted into pieces. I stood up on the bridge, looked at my girlfriends daughter and said, ""let's go now!"" My girlfriend and dog were already in the truck when I slammed the hood down and dove inside. We drove down the mountain and pulled over. I had left so fast that I didn't put the radiator cap back on. I considered returning after getting water to try to get pictures, but my girlfriend wouldn't let us go back. Now, either somebody was on that steep hill in the middle of the forest screwing with us and throwing rocks, or something else was. If it was a person, they are mighty brave in a forest full of hunters and guns. I don't know, seems awful strange."
